Species,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
arabica,Colombia,N/a,NHOL-1322/24,,,Nestle Nespresso SA,,Caldas,N/a,275,70 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023 / 2024,"May 20th, 2024",Alexis Rodriguez,,Completed,Washed / Wet,8,7.83,7.83,7.67,7.75,8.17,10,10,10,8.08,0,85.33,11.30%,0 full defects,0,Bluish-Green,1 full defects,,"May 20th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
arabica,Kenya,KAMUNDU ESTATE,SAS: 7417 AB TOP,Sasini Coffee Mill,,Sasini Plc,1800-2100,MT KENYA,SASINI PLC - KAMUNDU ESTATE,132,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8.08,7.92,7.67,7.83,8,7.92,10,10,10,7.92,0,85.33,10.90%,0 full defects,0,Green,5 full defects,,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Taiwan,祖嵐咖啡莊園,533 藝妓Gesha,益豐機械咖啡豆去皮脫殼機剝殼機兩用設備 100型,,祖嵐咖啡莊園,500,復興區義盛里大利幹部落農園,陳曉芬,1,10 kg,Blossom Valley International宸嶧國際,2024 / 2025,"March 19th, 2025",陳曉芬,Gesha,Completed,Natural / Dry,8.17,8.08,7.75,7.75,7.75,7.83,10,10,10,8,0,85.33,9.50%,3 full defects,0,Green,1 full defects,,"March 19th, 2026",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
arabica,Thailand,Doi Tung Development Project,Typica Natural Process (ICP Rank 2 - 2024),Doi Tung Development Project,,Mae Fah Luang Foundation,1200,"Mae Fah Luang, Chiang Rai",Tanawith Thirintong,1,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Sitthinadda Paphavasit,Typica,Completed,Natural / Dry,8,8,7.92,7.83,7.83,7.83,10,10,10,7.83,0,85.25,9.40%,0 full defects,0,Yellow-Green,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
arabica,Thailand,PHU DUEN COFFEE FARM,May Big Lot,PANA Coffee,,Independent,1200,"Phu Chi Duean, Chiang Rai",Chawin Leungluesap,34,25 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Chawin Leungluesap,Catimor,Completed,Natural / Dry,8.08,7.92,7.92,7.75,7.83,7.92,10,10,10,7.83,0,85.25,10.30%,0 full defects,0,,2 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Peera Panasupon,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"77,Luang Nuea, Doi Saket ,Chiang Mai, 50220",1200,"Luang Nuea, Doi Saket, Chiang Mai",Peera Panasupon,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Peera Panasupon,Catimor,Completed,Natural / Dry,7.92,8,7.83,7.92,7.92,7.75,10,10,10,7.83,0,85.17,8.90%,0 full defects,0,,0 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Cambodia,PIDA COFFEE FARM,AR1,PIDA COFFEE FARM,,Babros Coffee Works,700,Mondulkiri,PIDA COFFEE FARM,3,30 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"March 24th, 2025",BABROS COFFEE WORKS,Catimor,Completed,Aerobic natural,7.92,8,7.58,8.17,7.75,7.83,10,10,10,7.92,0,85.17,12%,0 full defects,1,Green,0 full defects,,"March 24th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
arabica,Kenya,TINGANGA ESTATE,SAS: 7246 AA TOP,Sasini Coffee Mill,,Sasini (K) Limited,1800-2100,MT KENYA,SASINI PLC - TINGANGA ESTATE,960,60 kg,Kenya Coffee Traders Association,2024 / 2025,"January 21st, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8,7.92,7.75,7.75,7.83,8,10,10,10,7.92,0,85.17,11%,0 full defects,0,Greenish,1 full defects,,"January 21st, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Taiwan,泥妲咖啡 Nita Coffee Manor,"2024 Sustainable Specialty Coffee Farm Awards,S107",泥妲咖啡 Nita Coffee Manor,,Taiwan Coffee Laboratory,600,"花蓮縣秀林鄉 Xiulin Township, Hualien County","戴豐秋 Dai,fong-ciou",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,8,7.92,7.67,7.92,7.75,8,10,10,10,7.92,0,85.17,10.40%,0 full defects,1,Yellow-Green,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Kenya,TINGANGA ESTATE,SAS: 7418 AB FAQ,Sasini Coffee Mill,,Sasini Plc,1800-2150,MT KENYA,SASINI PLC - TINGANGA ESTATE,150,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL34,Completed,Washed / Wet,8,8,7.58,7.83,7.92,7.92,10,10,10,7.92,0,85.17,11.10%,0 full defects,0,Green,5 full defects,,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Vietnam,Tramhamin coffee cooperative,1,Tramhamin coffee cooperative,,HỢP TÁC XÃ CÀ PHÊ TRAMHAMIN,1600,"Trạm Hành, Đà Lạt, Lâm Đồng",BÙI TRÍ DŨNG,833,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",tramhamincoffee,Catimor,Completed,Washed / Wet,7.92,7.92,7.75,8,7.75,7.83,10,10,10,7.92,0,85.08,11.60%,0 full defects,0,Green,3 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
arabica,Kenya,KAMUNDU ESTATE,SAS: 7429 AA TOP,Sasini Coffee Mill,,Sasini Plc,1800-2150,MT KENYA,SASINI PLC - KAMUNDU ESTATE,88,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 25th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,7.83,7.75,7.83,8.08,7.83,7.92,10,10,10,7.83,0,85.08,11%,0 full defects,0,Green,1 full defects,,"March 25th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Thailand,ไร่ดินดี tea&coffee,1,wet hull,,Rai Dindee Tea&Coffee,1350,Ban Doi-Ngam,Hassadin Merlae,2,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"November 7th, 2024",Hassadin Merlae,Catimor,Completed,Washed / Wet,7.92,8,7.83,7.92,7.83,7.75,10,10,10,7.83,0,85.08,9.50%,0 full defects,0,,0 full defects,,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
arabica,Kenya,VARIOUS,CN 4124250506 - K33182,KIRINYAGA MILL,37/00045/250506,C.DORMAN SEZ LTD,1600-1800,KIRINYAGA,VARIOUS,600,30 kg,Kenya Coffee Traders Association,2024 / 2025,"February 25th, 2025",Gilbert Maina,SL28,Completed,Washed / Wet,8.08,7.83,7.75,7.67,8,7.83,10,10,10,7.83,0,85,11%,0 full defects,0,Green,2 full defects,,"February 25th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Thailand,Jaisooksern farm,May Big Lot,Jaisooksern farm,,Coffee Farmer,1000,"Doi Saket, Chiang Mai",Sorasak Intakad,20,25 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Sorasak Intakad,Typica,Completed,Washed / Wet,7.58,7.92,7.75,8.08,8.08,7.75,10,10,10,7.83,0,85,9.60%,0 full defects,0,,2 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,SOFT Coffee,Wash Carbonic,"Mogoju Bean co.,ltd.",,SOFT Coffee,1200,"Omkoi,Chiangmai,Thailand",Ms.Radchadaporn Junprasert,2,25 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Radchadaporn,"Catimor ,Typica, Bourbon",Completed,Wash Carbonic Process,7.92,7.92,7.75,7.92,7.67,7.83,10,10,10,8,0,85,10.30%,0 full defects,0,,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
arabica,Taiwan,一斗夢咖啡莊園 A Bucket of Dreams Coffee Manor,"2024 Sustainable Specialty Coffee Farm Awards,S041",一斗夢咖啡莊園 A Bucket of Dreams Coffee Manor,,Taiwan Coffee Laboratory,180,"花蓮縣壽豐鄉 Shoufeng Township, Hualien County",黃則恭 HUANG ZE GONG,1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023 / 2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.83,7.83,7.83,7.83,7.75,7.92,10,10,10,8,0,85,11.20%,0 full defects,0,Greenish,3 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Thailand,soomio farm,1,hulling,,Soomio coffee farm,1480,Maesruai Chaingrai,sinthop juepa,1,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"October 29th, 2024",Sinthop Juepa,Typica,Completed,Washed / Wet,7.83,7.92,7.92,7.92,7.92,7.83,10,10,10,7.67,0,85,10.80%,0 full defects,0,,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
arabica,Vietnam,RADAR FARM,1,RADAR FARM,,radar farm,1600,"Trạm Hành, Đà Lạt, Lâm Đồng",BÙI TRÍ DŨNG,58,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Bùi Trí Dũng,THA1,Completed,Washed / Wet,7.83,8,7.58,8,7.92,7.75,10,10,10,7.92,0,85,11.30%,0 full defects,0,Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
arabica,Kenya,GULMARG ESTATE,SAS: 7247 AB TOP,Sasini Coffee Mill,,Sasini (K) Limited,1800-2100,MT KENYA,SASINI PLC - GULMARG ESTATE,1280,60 kg,Kenya Coffee Traders Association,2024 / 2025,"January 21st, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8.17,7.92,7.75,7.75,7.83,7.83,10,10,10,7.75,0,85,11%,0 full defects,0,Greenish,5 full defects,,"January 21st, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Thailand,Sarawut Sawanyanuphap,TCE,Big Black Box Dry Mill Plant,,"814,Mae Na Toeng, Pai ,Mae Hong Son, 58130",1500,"Pai, Mae Hong Son",Sarawut Sawanyanuphap,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Sarawut Sawanyanuphap,"Mixed:Typica, Bourbon, Catimor, Caturra, Java",Completed,Pulped natural / honey,7.58,7.92,7.92,8.08,7.83,7.75,10,10,10,7.92,0,85,10.80%,0 full defects,0,,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Taiwan,JinYunSinTeaCoffeeFarming,Taiwan Chia-Yi GEASHA WASH BeanBorn Reserved,BeanBorn Corp. Ltd.,,BeanBorn Corp. Ltd.,1000,Taiwan Chia-Yi,JinYunSinTeaCoffeeFarming,1,200 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023 / 2024,"May 24th, 2024",Jack Wang 王人傑,Gesha,Completed,Washed / Wet,7.83,7.92,7.75,7.92,7.83,7.83,10,10,10,7.92,0,85,11.60%,0 full defects,0,Bluish-Green,0 full defects,,"May 24th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
arabica,Taiwan,"村長天池咖啡	(Zhang Chang Tian Chi Coffee Estate)",2024臺南市國產精品咖啡評鑑批次,"村長天池咖啡	(Zhang Chang Tian Chi Coffee Estate)",,Taiwan Coffee Laboratory,700-800,"台南市東山區 Dongshan Dist., Tainan City","陳水連(Chen,Shuei-Lian)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023 / 2024,"July 22nd, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.92,7.83,7.83,7.92,7.75,7.83,10,10,10,7.83,0,84.92,11.90%,0 full defects,0,Yellowish,2 full defects,,"July 22nd, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Taiwan,青葉咖啡莊園 Ching Ye Coffee Estate,"2024 Sustainable Specialty Coffee Farm Awards,S046",青葉咖啡莊園 Ching Ye Coffee Estate,,Taiwan Coffee Laboratory,1100,"嘉義縣梅山鄉 Meishan Township, Chiayi County","葉世遠 YEH,SHIN-YUAN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.83,7.92,7.92,8,7.75,7.67,10,10,10,7.83,0,84.92,10.60%,0 full defects,0,Green,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Kenya,KAMUNDU ESTATE,SAS: 7416 AA TOP,Sasini Coffee Mill,,Sasini (K) Limited,1800-2100,MT KENYA,SASINI PLC - KAMUNDU ESTATE,65,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8,7.83,7.75,7.75,7.75,8,10,10,10,7.83,0,84.92,10.80%,0 full defects,0,Greenish,5 full defects,,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Thailand,Ma Family Coffee Farm,May Big Lot,Ma Family Coffee,,Ma-Family Coffee Farm,1270,"Pangkhon, Chiang Rai",Asadawoot Yapanggoo,21,50 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Asadawoot Yapaenggoo,Catimor,Completed,Washed / Wet,7.75,8,7.67,7.92,8,7.75,10,10,10,7.83,0,84.92,10.30%,0 full defects,0,,0 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Vietnam,THY THY FARM,1,THY THY FARM,,ThyThy Farm,1550,"Trạm Hành, Cầu Đất, Đà Lạt, Lâm Đồng",Công Ty TNHH Cà Phê Sạch Intenso,5,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Lê Huyền Ngọc Thy,TN9-TN10,Completed,Natural / Dry,7.83,7.92,7.75,7.92,7.83,7.83,10,10,10,7.83,0,84.92,10.90%,0 full defects,0,Green,4 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
arabica,Vietnam,Lang Biang Coffee Project,AE1,Lang Biang Coffee Project,,Babros Coffee Works,1550,"Lac Duong, Lam Dong",Lang Biang Coffee Project,10,30 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"August 13th, 2024",BABROS COFFEE WORKS,Catimor,Completed,Aerobic natural,8.08,7.92,7.58,8,7.67,7.75,10,10,10,7.92,0,84.92,11.50%,0 full defects,0,Blue-Green,0 full defects,,"August 13th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
arabica,Thailand,Wish Junprasert,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,SOFT Coffee,1200,"Omkoi, Chiang Mai",Wish Junprasert,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Wish Junprasert,"Catimor, Typica, Bourbon",Completed,Natural / Dry,7.75,8,7.75,7.92,7.75,7.92,10,10,10,7.83,0,84.92,10%,0 full defects,0,,3 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Taiwan,馨晴咖啡莊園 Good Mood Coffee,"2024 Sustainable Specialty Coffee Farm Awards,S122",馨晴咖啡莊園 Good Mood Coffee,,Taiwan Coffee Laboratory,900,"南投縣國姓鄉 Guoxing Township, Nantou County","黃美桃 Huang, Mei Tao",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.92,8.08,7.75,7.92,7.67,7.75,10,10,10,7.83,0,84.92,9.60%,0 full defects,0,Greenish,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Taiwan,鄭美珠的黃波旁 咖啡莊園,"2024 Sustainable Specialty Coffee Farm Awards,S090",鄭美珠的黃波旁 咖啡莊園,,Taiwan Coffee Laboratory,230,"花蓮縣瑞穗鄉 Ruisui Township, Hualien County","鄭美珠 ZHENG,MEI-ZHU",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Yellow Bourbon,Completed,Washed / Wet,7.92,7.92,7.75,7.83,7.75,7.83,10,10,10,7.83,0,84.83,10.80%,0 full defects,0,Green,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Thailand,Mana Kamnerdmongkol,TCE,Big Black Box Dry Mill Plant,,"5/1 ,Moo. 11,Ngop, Thung Chang ,Nan, 55130",1400,"Thung Chang,Nan",Mana Kamnerdmongkol,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Mana Kamnerdmongkol,IPR107 Syrina,Completed,Pulped natural / honey,7.58,8,7.75,7.83,8,7.75,10,10,10,7.92,0,84.83,9.50%,0 full defects,0,,3 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Asadawoot Yapaenggoo,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,Ma-Family Coffee Farm,1270,"Huai Chomphu, Mueang Chiang Rai, Chiang Rai",Asadawoot Yapaenggoo,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Asadawoot Yapaenggoo,Yellow Bourbon,Completed,Natural / Dry,7.92,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0,84.83,10%,0 full defects,0,,4 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Ethiopia,YIRGACHEFFEE KONGA,0230A,TRACON PROCESSING MILL,0230A,kebir coffee,1980,Yirgacheffee Konga,KEBIR COFEE TRADING PLC,12,60 kg,METAD Agricultural Development plc,2023 / 2024,"June 11th, 2024",kebir coffee,Ethiopian Heirlooms,Completed,Natural / Dry,7.67,8.08,7.67,8,7.75,7.83,10,10,10,7.83,0,84.83,10%,2 full defects,6,Yellow Green,14 full defects,,"June 11th, 2025",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Costa Rica,Sumava,EC105C,Sumava,,Exclusive Coffee,1700,West Valley,Francisco Mena Vilchez,275,69 kg,Specialty Coffee Association of Costa Rica,2023 / 2024,"June 20th, 2024",Jose Javier Carmona Campos,Caturra,Completed,Pulped natural / honey,7.75,7.83,7.83,8,7.83,7.75,10,10,10,7.83,0,84.83,10.50%,0 full defects,0,Green,0 full defects,,"June 20th, 2025",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
arabica,Thailand,Suthep Phithakanantakul,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"62 Moo.11 ,Ban Manee Pruek,Ngop, Thung Chang ,Nan, 55130",1400,"Ngop,T hung Chang, Nan",Suthep Phithakanantakul,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Suthep Phithakanantakul,Syrina,Completed,Washed / Wet,7.75,7.92,7.75,7.92,8,7.75,10,10,10,7.75,0,84.83,9.90%,0 full defects,0,,0 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Chaloemwong Yapangkoo,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"42,Huai Chomphu, Mueang Chiang Rai ,Chiang Rai, 57000",1350,"Huai Chomphu, Mueang Chiang Rai, Chiang Rai",Chaloemwong Yapangkoo,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Chaloemwong Yapangkoo,"Bourbon, Catimor",Completed,Natural / Dry,8,7.75,7.75,7.83,7.75,7.92,10,10,10,7.75,0,84.75,10.80%,0 full defects,0,,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Taiwan,龍眼林九號,"2024 Sustainable Specialty Coffee Farm Awards,S099",龍眼林九號,,Taiwan Coffee Laboratory,950,"嘉義縣梅山鄉 Meishan Township, Chiayi County","曾啓榮 ZENG,QI-RONG",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.75,7.92,7.75,7.83,7.75,7.75,10,10,10,8,0,84.75,10.20%,0 full defects,0,Yellow-Green,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Vietnam,Madam Hương Coffee- An Việt Farm,1,Madam Hương Coffee- An Việt Farm,,Madam Hương Coffee - An Việt Farm,670,"Hướng Phùng, Hướng Hóa, Quảng Trị",Trần Mai Hương,50,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Madam Hương Coffee,Catimor,Completed,Natural / Dry,7.92,7.83,7.75,7.75,7.92,7.75,10,10,10,7.83,0,84.75,11%,0 full defects,0,Green,3 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
arabica,Colombia,N / A,3-068-01185,Trilladora Popayán,3-068-01185,ECOM COLOMBIA,1800,Cauca,Regional producers,275,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2023 / 2024,"July 17th, 2024",Raúl Vargas,Caturra,Completed,Washed / Wet,8,7.83,7.75,7.92,7.67,7.67,10,10,10,7.92,0,84.75,11.10%,0 full defects,0,Green,4 full defects,,"July 17th, 2025",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
arabica,Thailand,Chukiat Hongarthan,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"92,Chaem Luang, Galyani Vadhana ,Chiang Mai, 58130",1600,"Chaem Luang, Galyani Vadhana, Chiang Mai",Chukiat Hongarthan,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Chukiat Hongarthan,"Typica, Catimor, Bourbon",Completed,Natural / Dry,8.08,7.92,7.67,7.92,7.67,7.67,10,10,10,7.83,0,84.75,9.90%,0 full defects,0,,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Sinthop Juepa,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"266 Moo.25, Ban Mae Jan Tai,Tha Ko, Mae Suai ,Chiang Rai, 57180",1450,"Tha Ko, Mae Suai, Chiang Rai",Sinthop Juepa,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Sinthop Juepa,"Mixed: Typica, Bourbon",Completed,Washed / Wet,7.83,7.83,7.75,7.92,7.67,7.92,10,10,10,7.83,0,84.75,10.10%,0 full defects,0,,5 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
