Species,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Fragrance / Aroma,Flavor,Aftertaste,Salt / Acid,Bitter / Sweet,Mouthfeel,Uniform Cup,Clean Cup,Balance,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
robusta,Thailand,Thanasit Sonsupha,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"9 ,Moo. 6,Hin Kaeo, Tha Sae ,Chumphon, 86190",47,"Hin Kaeo, Tha Sae, Chumphon",Thanasit Sonsupha,3,25 kg,Coffee Quality Institute,2019 / 2020,"September 19th, 2024",Thanasit Sonsupha,Mixed: unknown variety,Completed,Natural / Dry,8.33,7.92,7.67,8.17,7.75,8.17,10,10,7.75,7.92,0,83.67,9.40%,10 full defects,0,Brownish,2 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,Nguyễn Ngọc Hiên,2024,"xã Dliê Yang, huyện Eahleo, tỉnh Đắk Lắk",,"IAcommerce Co.,Ltd.",800,Daklak,Công Ty TNHH Nông Sản Thiên Tân,10,20 kg,Kim Kiljin Coffee Lab,2023,"July 3rd, 2024",SEKYOUNG KIM,TR4 Robusta,Completed,Natural / Dry,7.92,7.92,7.83,8,8,8.08,10,10,7.92,7.92,0,83.58,10.30%,0 full defects,10,Green,4 full defects,,"July 3rd, 2025",Kim Kiljin Coffee Lab,"50, Seongsui-ro 24-gil, 4th Floor, Seongdong-gu, Seoul, Republic of Korea",Paul Kim - +82-10-7662-6245
robusta,Thailand,"Yang Hak Coffee and Fruit Growers Agricultural Cooperative Co., Ltd.",2024/1,Dry Mill,,"Yang Hak Coffee and Fruit Growers Agricultural Cooperative Co., Ltd.",170,"Yanghak , Paktho , Ratchaburi","Yang Hak Coffee and Fruit Growers Agricultural Cooperative Co., Ltd.",4,2 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Benjaphorn Phumkanao,Robusta,Completed,Natural / Dry,8,8.17,7.92,8,7.83,7.92,10,10,7.75,8,0,83.58,11.60%,0 full defects,0,yellow-green,2 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Thailand,Phutawan,-,-,-,Phutawan,175,Continenta Southeast Asia,-,1,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Ritichai,,Completed,Natural / Dry,8.25,8.17,7.92,7.75,7.83,7.75,10,10,7.83,8,0,83.5,11.10%,0 full defects,0,yellowish,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Thailand,Robusta nanoi coffee,1,Dry,,Robusta nanoi coffee,350,nanoi,Phap Kaewphirom,1,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"October 29th, 2024",Phap Kaewphirom,,Completed,Natural / Dry,8.08,7.92,7.67,8.17,8,7.92,10,10,7.83,7.92,0,83.5,10.90%,0 full defects,0,brownish,1 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,Gaia Farms,221142,Hulling Facility,,Brew Baby Coffee Company,5400,"Lam Dong Province, Vietnam",Viet Coffee Company Limited,1,1 kg,Firedancer Coffee Consultants,2024 / 2025,"April 8th, 2025",Brew baby Coffee Company,Catimor,Completed,Natural / Dry,7.92,7.92,7.75,7.75,8.17,8.08,10,10,8,7.92,0,83.5,9.30%,0 full defects,0,Yellowish,0 full defects,,"April 8th, 2026",Firedancer Coffee Consultants,"165 Commerce Drive, Ste 103",Firedancer Coffee Consultants -
robusta,Thailand,Kiatkanya Juntarakumtorn,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"334 ,Moo. 3,Klang Wiang, Wiang Sa ,Nan, 55110",350,"Klang Wiang, Wiang Sa, Nan",Kiatkanya Juntarakumtorn,3,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Kiatkanya Juntarakumtorn,Mixed: unknown variety,Completed,Natural / Dry,7.75,8.08,8,8.17,7.92,7.83,10,10,7.75,7.92,0,83.42,9.30%,4 full defects,0,Brownish,4 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Mexico,N/a,NHOL-1326/24,,,Nestle Nespresso SA,,,N/a,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2019 / 2020,"May 20th, 2024",Alexis Rodriguez,,Completed,Washed / Wet,7.83,7.83,7.67,8,7.92,8.08,10,10,8.08,8,0,83.42,11.60%,0 full defects,3,Brownish,0 full defects,,"May 20th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
robusta,Thailand,Uncle Kian Robusta Farm,1,Horizon Harvest,,Horizon Harvest,330,"Wiang Sa, Nan, Thailand",Horizon Harvest,1,20 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Chawasit Tengtrairatana,robusta,Completed,Natural / Dry,8,8.08,7.75,8.17,7.92,7.75,10,10,7.83,7.83,0,83.33,11.60%,0 full defects,0,Green,5 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Thailand,Nancoff,May Big Lot,Nancoff,,Independent,1300,"Doi Suan Ya Luang, Nan",Tanagrit Rungpokinan,50,20 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Tanagrit Rungpokinan,Catimor,Completed,Natural / Dry,,8.25,8.08,,,,,10,7.92,8,0,85.92,9%,0 full defects,0,,1 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,33,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Danh Nguyen,Sẻ,Completed,Yellow Honey,7.75,7.75,7.75,8,8,7.92,10,10,7.92,7.83,0,82.92,9.90%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,1,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,,TNHH MTV TM XNK TOÀN THỊNH,690,"Nhân Cơ, Đăk R'lấp, Đắk Nông",Trương Công Thịnh,83,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Trương Công Thịnh,Cũ,Completed,Natural (phơi giàn lưới),7.92,7.83,7.83,7.83,7.92,7.83,10,10,7.83,7.83,0,82.83,12.20%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,HTX Ba Cùng Hoà Phát,1,HTX Ba Cùng Hoà Phát,,Dancafe,800,"Đak Rô, Krong Nô, Đắk Nông",Hà Anh Tuấn,8,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Danh Nguyen,TR4,Completed,Natural / Dry,7.75,7.83,7.67,7.92,7.83,8,10,10,7.83,7.92,0,82.75,10.80%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Supaporn Pumnin,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"PUMMA FARM CO., LTD.",80,"Tha Sae, Tha Sae, Chumphon",Supaporn Pumnin,3,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Supaporn Pumnin,Mixed: unknown variety,Completed,Natural / Dry,7.83,7.92,7.83,7.83,7.83,8,10,10,7.75,7.67,0,82.67,9.40%,1 full defects,0,Yellowish,5 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,Thanh An coffe fram,1,green bean,,công ty tnhh mtv trà và cà phê thanh an,840,"bảo lộc, lâm đồng, việt nam",Vũ Động Lực,5,60 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2024 / 2025,"April 7th, 2025",vũ động lực,TAF038,Completed,Natural / Dry,8.33,8.08,7.75,7.67,7.67,7.67,10,10,7.75,7.75,0,82.67,11.20%,0 full defects,0,Brownish,1 full defects,,"April 7th, 2026",Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),"1 G Dinh Bo Linh Street, 15 ward, Binh Thanh District, Ho Chi Minh City","Hai,Tran Quang. - 84 8 98 967 8708"
robusta,Vietnam,Thuận Nhiên farm,1,Thuận Nhiên farm,,Thuận Nhiên Farm,900,"Thôn 10, xã Tân Lâm, huyện Di Linh, tỉnh Lâm Đồng",Trần Minh Thuận,22,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Trần Minh Thuận,Mixed,Completed,Honey (Ver2),7.75,7.83,7.83,7.92,7.83,7.83,10,10,7.83,7.75,0,82.58,10.50%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Công ty TNHH SX & DV Tamba,1,Công ty TNHH SX & DV Tamba,,Tamba company,750,"Chư Păh , Gia Lai",Lưu Vinh Quang,1633,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",LUU VINH QUANG,TR4,Completed,Natural / Dry,7.83,7.83,7.75,7.92,7.83,7.83,10,10,7.75,7.75,0,82.5,10%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Godere,GNRO0124UN,Godere Farm,,Công Ty Cổ Phần Godere,650,"Bon Srê Ú, Đắk Nia",Công ty Cổ phần Godere,335,60 kg,HQJ Coffee School,2023 / 2024,"July 31st, 2024",Trần Thị Thuỷ Tiên,TR4,Completed,Natural / Dry,7.67,7.58,7.83,7.92,7.83,8,10,10,7.75,7.75,0,82.33,11.50%,0 full defects,0,Yellowish,0 full defects,,"July 31st, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,"Ho Phuong Co.,LTD",HPR01,"Ho Phuong Co.,LTD",,"Ho Phuong Co.,LTD",900,Lam Ha District - Lam Dong Province,"Ho Phuong Co.,LTD",17,60 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2023 / 2024,"May 30th, 2024","Ho Phuong Co.,LTD",Local Robusta,Completed,Natural / Dry,8.08,7.83,7.75,7.58,7.92,7.83,10,10,7.67,7.67,0,82.33,11.60%,0 full defects,0,Yellow-Green,1 full defects,,"May 30th, 2025",Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),"1 G Dinh Bo Linh Street, 15 ward, Binh Thanh District, Ho Chi Minh City","Hai,Tran Quang. - 84 8 98 967 8708"
robusta,Vietnam,Thành Vinh Farm,1,Thành Vinh Farm,,Dancafe,700,"Jang Play 3, Trường Xuân, Đak Song, Đak Nông",Thành Vinh Farm,83,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Danh Nguyen,TR4,Completed,Pulped natural / honey,7.67,7.75,7.83,7.83,7.83,7.83,10,10,7.75,7.75,0,82.25,11.40%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Wiboon Sripan,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"422 ,Moo. 4,Khuan Kalong, Khuan Kalong ,Satun, 91130",36,"Khuan Kalong, Khuan Kalong, Satun",Wiboon Sripan,3,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Wiboon Sripan,Mixed: unknown variety,Completed,Natural / Dry,7.75,7.83,7.75,7.75,8,7.67,10,10,7.67,7.75,0,82.17,8.50%,1 full defects,0,Brownish,4 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,MẠNH ĐƯỜNG FARM,1,MẠNH ĐƯỜNG FARM,,manh duong farm,500,"Buôn Trấp, Krong Ana, Đắk Lắk",Vũ Mạnh Đường,15,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",vu manh duong,Mixed,Completed,Natural / Dry,7.67,7.83,7.75,7.75,7.83,7.75,10,10,7.83,7.75,0,82.17,12.20%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Dũng Farm,1,Dũng Farm,,Dalanka Forest Farm,700,"Phú Xuân, Krông Năng, Đăk Lăk",Dalanka Forest Farm,8,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Vo Ngoc Dung,Cũ,Completed,Natural / Dry,7.83,7.75,7.67,7.83,7.83,7.83,10,10,7.75,7.67,0,82.17,11.60%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Blutani Farm,2025,14 xóm 1 thôn 7 xã tân châu huyện di linh tỉnh lâm đồng,,Blutani farm,1020,vietnam,Nguyen Thanh Tai,1,2 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",Trung Nguyen Quoc,,Completed,Natural / Dry,7.75,7.83,7.67,7.92,7.83,7.58,10,10,7.75,7.75,0,82.08,10.40%,0 full defects,0,Green,0 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Nghĩa Farm,1,Nghĩa Farm,,nghiafarm,880,"thôn 5, Nghĩa Hưng, Chư ăh, Gia Lai",Nguyễn Thị Thu Thảo,20,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Nguyen Thi Thu Thao,Sẻ,Completed,Pulped natural / honey,7.75,7.75,7.83,7.75,7.92,7.75,10,10,7.67,7.67,0,82.08,11.70%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Like Farm,1,Like Farm,,Hợp tác xã Liên Kết,950,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Mai Nguyễn Quốc Thắng,183,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Mai Nguyen Quoc Thang,TR4,Completed,Pulped natural / honey,7.67,7.75,7.75,7.75,7.75,7.83,10,10,7.75,7.75,0,82,11.90%,0 full defects,0,Brownish,5 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,17,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Danh Nguyen,Sẻ,Completed,Natural / Dry,7.67,7.75,7.75,7.83,7.83,7.67,10,10,7.75,7.75,0,82,10.70%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,India,Papakuchi Coffee,Papakuchi Robusta Natural -14/1593/2024/002,Laxmi Coffee Curing Works Ltd.,14/1593/2024/002,"Saka no Tochu Co., Ltd.",1150,"Western Ghats, India",Pavan,150,30 kg,Kim Kiljin Coffee Lab,2023 / 2024,"September 9th, 2024",Saya Miyazaki,Old peridinia,Completed,Natural / Dry,7.83,7.75,7.75,7.58,7.75,7.75,10,10,7.75,7.75,0,81.92,10.80%,0 full defects,2,Green,0 full defects,,"September 9th, 2025",Kim Kiljin Coffee Lab,"50, Seongsui-ro 24-gil, 4th Floor, Seongdong-gu, Seoul, Republic of Korea",Paul Kim - +82-10-7662-6245
robusta,Thailand,Grandma Was ่s Diversified Garden,C237,9.8,,Grandma Was' s Diversified Garden,12,Southern region of Thailand,Pavadee Thongbunchoo,1,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"November 7th, 2024",Pavadee Thongbunchoo,,Completed,Natural / Dry,8,7.92,7.67,7.67,7.75,7.58,10,10,7.58,7.58,0,81.75,9.80%,0 full defects,0,yellowish,0 full defects,,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,Hưng Thịnh Farm,1,Hưng Thịnh Farm,,Hưng Thịnh Farm,750,"Thôn 2, Đắk Buk Sor, Tuy Đức, Đắk Nông",Phùng Văn Thịnh,33,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Phùng Văn Thịnh,Mixed,Completed,Pulped natural / honey,7.67,7.75,7.75,7.92,7.75,7.67,10,10,7.58,7.67,0,81.75,10.30%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Van Coffee Farm,1,Van Coffee Farm,,Van Coffee Farm,850,Lâm Đồng,Aico Van,1,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Aico Van,Thiện Trường,Completed,Washed / Wet,7.75,7.75,7.58,7.75,7.83,7.67,10,10,7.67,7.67,0,81.67,10.90%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Hao Farm,1,Hao Farm,,individual,700,"Jang Play 3, Trường Xuân, Đak Song, Đak Nông",Kiều Văn Hảo,33,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",KIEU VAN HAO,"Sẻ, TR4",Completed,Pulped natural / honey,7.67,7.75,7.75,7.67,7.75,7.75,10,10,7.67,7.67,0,81.67,11.40%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Quang Farm,1,Quang Farm,,Dalanka Forest Farm,700,"Phú Xuân, Krông Năng, Đăk Lăk",Dalanka Forest Farm,17,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Dalanka Forest Farm,Cũ,Completed,Natural / Dry,7.75,7.67,7.58,7.67,7.75,7.83,10,10,7.67,7.67,0,81.58,11.40%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Meka Phitsajarn,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"145 ,Moo. 2,Phu Fa, Bo Kluea ,Nan, 55220",560,"Phu Fa, Bo Kluea, Nan",Meka Phitsajarn,3,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Meka Phitsajarn,Mixed: unknown variety,Completed,Natural / Dry,7.83,7.75,7.58,7.67,7.75,7.83,10,10,7.58,7.58,0,81.58,9.20%,2 full defects,0,Brownish,3 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,CÔNG TY TNHH DV VÀ TM TÀI ĐỨC,1,CÔNG TY TNHH DV VÀ TM TÀI ĐỨC,,TAI DUC SERVICE AND TRADING COMPANY LIMITED,800,"Dak Mil , Dak Nong",Lương Thị Hương,5,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Hương Lương Thị,TR4,Completed,Natural / Dry,7.75,7.67,7.58,7.67,7.83,7.67,10,10,7.67,7.67,0,81.5,11.40%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,CODO FARM,1,CODO FARM,,CODO FARM SERVICES TRADING PRODUCTION COMPANY LIMITED,650,"Lộc Tân, Phú Lộc, Krông Năng, Đắk Lắk",Hoàng Thạch Lam,50,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Hoàng Thạch Lam,Cũ,Completed,Pulped natural / honey,7.67,7.67,7.58,7.58,7.75,7.83,10,10,7.75,7.67,0,81.5,11.20%,0 full defects,0,Yellow-Green,2 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Dũng Farm,1,Dũng Farm,,Dalanka Forest Farm,700,"Phú Xuân, Krông Năng, Đăk Lăk",Dalanka Forest Farm,8,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Vo Ngoc Dung,Cũ,Completed,Pulped natural / honey,7.58,7.67,7.67,7.75,7.75,7.58,10,10,7.67,7.67,0,81.33,10.40%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,ANH KHƯƠNG,1,ANH KHƯƠNG,,Cà phê hữu cơ Việt,446,"Bình Hòa, Krong Ana, Đắk Lắk",Lữ Văn Kỳ,42,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Lữ Văn Kỳ,Mixed,Completed,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10,10,7.5,7.5,0,81.33,9.90%,0 full defects,0,Brownish,3 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,India,Papakuchi Coffee,Papakuchi Robusta Washed-14/1593/2024/001,Laxmi Coffee Curing Works Ltd.,14/1593/2024/001,"Saka no Tochu Co., Ltd.",1150,"Western Ghats, India",Pavan,75,30 kg,Kim Kiljin Coffee Lab,2023 / 2024,"September 10th, 2024",Saya Miyazaki,Old peridinia,Completed,Washed / Wet,7.5,7.75,7.5,7.75,7.75,7.75,10,10,7.67,7.67,0,81.33,10.80%,0 full defects,0,Green,0 full defects,,"September 10th, 2025",Kim Kiljin Coffee Lab,"50, Seongsui-ro 24-gil, 4th Floor, Seongdong-gu, Seoul, Republic of Korea",Paul Kim - +82-10-7662-6245
robusta,Vietnam,JRING café,1,JRING café,,Jring Cafe,1000,"Di Linh, Lâm Đồng",Vũ Quốc Bảo,8,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Jring cafe,"Sẻ, Giống cũ",Completed,Natural / Dry,7.58,7.75,7.58,7.67,7.75,7.67,10,10,7.67,7.58,0,81.25,9.90%,0 full defects,0,Brownish,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Guatemala,N/a,NHOL-1330/24,,,Nestle Nespresso SA,,,N/a,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023 / 2024,"May 20th, 2024",Alexis Rodriguez,,Completed,Washed / Wet,7.58,7.83,7.67,7.58,7.67,7.67,10,10,7.58,7.67,0,81.25,11.20%,0 full defects,0,,0 full defects,,"May 20th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
robusta,India,Sethuraman Estate,14/1148/2024/11 Jenumara (Honey Tree) Block,Kaapi Royale,14/1148/2024/11,Kaapi Royale,2870,"Magundi,Badra River Belt,Chikmagalur",Kaapi Royale,250,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2024 / 2025,"November 7th, 2024",Nishant Gurjer,SLN 274 Variety,Completed,Washed / Wet,7.75,7.5,7.5,7.83,7.75,7.67,10,10,7.58,7.67,0,81.25,14.20%,0 full defects,2,Green,6 full defects,,"November 7th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
robusta,Vietnam,Nguyên Sang Coffee,1,Nguyên Sang Coffee,,nguyensangfarm,600,"Thôn Thống Nhất, xã Iadin, Đức Cơ, Gia Lai",Nguyên Hữu Thuận,33,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Nguyen Huu Thuan,TS5,Completed,Natural / Dry,7.58,7.67,7.67,7.58,7.67,7.75,10,10,7.67,7.58,0,81.17,11%,0 full defects,0,Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,ĐẠM COFFEE FARM,1,ĐẠM COFFEE FARM,,Đạm Coffee Farm,600,"Hoà Thuận, Buôn Mê Thuột, Đắk Lắk",Trần Thị Trân Châu Ngọc,20,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",NGUYEN THI TRAN CHAU NGOC,TR4,Completed,Natural / Dry,7.58,7.58,7.58,7.67,7.75,7.67,10,10,7.67,7.67,0,81.17,12.30%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Indonesia,Asri Sappe,1,Asri Sappe,,CV Kopindo Sukses Bersama,56,Konawe Selatan,Asri Sappe,4,50 kg,5758 Coffee Lab,2023,"July 15th, 2024",Asri S,mix,Completed,Washed / Wet,7.67,7.83,7.5,7.75,7.67,7.58,10,10,7.5,7.67,0,81.17,11.70%,0 full defects,2,Grey-whitish,5 full defects,,"July 15th, 2025",5758 Coffee Lab,"Rusa Pinus Raya E1-D, Jl. Pinus Raya Barat, Gegerkalong, Kota Bandung, Jawa Barat 40153, Indonesia",Adi W. Taroepratjeka - +62-8122021163
